[ 333.0, -16.0, 0.0 ]
[ 333.0, -15.0, 0.0 ]
[ 333.0, -14.0, 0.0 ]
[ 333.0, -13.0, 0.0 ]
[ 333.0, -12.0, 0.0 ]
[ 333.0, -11.0, 0.0 ]
[ 333.0, -10.0, 0.0 ]
[ 333.0, -9.0, 0.0 ]
[ 333.0, -8.0, 0.0 ]
[ 333.0, -7.0, 0.0 ]
[ 333.0, -6.0, 0.0 ]
[ 333.0, -5.0, 0.0 ]
[ 333.0, -4.0, 0.0 ]
[ 333.0, -3.0, 0.0 ]
[ 333.0, -2.0, 0.0 ]
[ 333.0, -1.0, 0.0 ]
[ 332.0, -1.0, 0.0 ]
[ 331.0, -1.0, 0.0 ]
[ 330.0, -1.0, 0.0 ]
[ 329.0, -1.0, 0.0 ]
[ 329.0, -2.0, 0.0 ]
[ 329.0, -3.0, 0.0 ]
[ 328.0, -4.0, 0.0 ]
[ 328.0, -5.0, 0.0 ]
[ 328.0, -6.0, 0.0 ]
[ 328.0, -7.0, 0.0 ]
[ 327.0, -8.0, 0.0 ]
[ 326.0, -9.0, 0.0 ]
[ 325.0, -8.0, 0.0 ]
[ 324.0, -7.0, 0.0 ]
[ 323.0, -6.0, 0.0 ]
[ 322.0, -5.0, 0.0 ]
[ 321.0, -4.0, 0.0 ]
[ 320.0, -4.0, 0.0 ]
[ 319.0, -3.0, 0.0 ]
[ 318.0, -2.0, 0.0 ]
[ 317.0, -2.0, 0.0 ]
[ 316.0, -2.0, 0.0 ]
[ 315.0, -1.0, 0.0 ]
[ 314.0, -1.0, 0.0 ]
[ 313.0, -1.0, 0.0 ]
[ 312.0, -1.0, 0.0 ]
[ 311.0, -1.0, 0.0 ]
[ 310.0, -1.0, 0.0 ]
[ 309.0, -1.0, 0.0 ]
[ 308.0, -1.0, 0.0 ]
[ 307.0, -1.0, 0.0 ]
[ 306.0, -1.0, 0.0 ]
[ 305.0, -1.0, 0.0 ]
