[ 301.0, -27.0, 0.0 ]
[ 300.0, -27.0, 0.0 ]
[ 299.0, -27.0, 0.0 ]
[ 298.0, -27.0, 0.0 ]
[ 297.0, -27.0, 0.0 ]
[ 296.0, -27.0, 0.0 ]
[ 295.0, -27.0, 0.0 ]
[ 294.0, -27.0, 0.0 ]
[ 293.0, -27.0, 0.0 ]
[ 292.0, -27.0, 0.0 ]
[ 291.0, -27.0, 0.0 ]
[ 290.0, -27.0, 0.0 ]
[ 289.0, -27.0, 0.0 ]
[ 288.0, -27.0, 0.0 ]
[ 287.0, -27.0, 0.0 ]
[ 286.0, -26.0, 0.0 ]
[ 286.0, -25.0, 0.0 ]
[ 286.0, -24.0, 0.0 ]
[ 286.0, -23.0, 0.0 ]
[ 286.0, -22.0, 0.0 ]
[ 286.0, -21.0, 0.0 ]
[ 286.0, -20.0, 0.0 ]
[ 286.0, -19.0, 0.0 ]
[ 287.0, -18.0, 0.0 ]
[ 287.0, -17.0, 0.0 ]
[ 287.0, -16.0, 0.0 ]
[ 288.0, -15.0, 0.0 ]
[ 288.0, -14.0, 0.0 ]
[ 289.0, -13.0, 0.0 ]
[ 290.0, -12.0, 0.0 ]
[ 290.0, -11.0, 0.0 ]
[ 291.0, -10.0, 0.0 ]
[ 292.0, -9.0, 0.0 ]
[ 293.0, -9.0, 0.0 ]
[ 294.0, -8.0, 0.0 ]
[ 295.0, -7.0, 0.0 ]
[ 296.0, -7.0, 0.0 ]
[ 297.0, -7.0, 0.0 ]
[ 298.0, -6.0, 0.0 ]
[ 299.0, -6.0, 0.0 ]
[ 300.0, -6.0, 0.0 ]
[ 301.0, -6.0, 0.0 ]
[ 302.0, -6.0, 0.0 ]
[ 303.0, -6.0, 0.0 ]
[ 304.0, -6.0, 0.0 ]
[ 305.0, -6.0, 0.0 ]
[ 306.0, -6.0, 0.0 ]
[ 307.0, -6.0, 0.0 ]
[ 308.0, -6.0, 0.0 ]
[ 309.0, -6.0, 0.0 ]
